title,link,time
Trump Pushes Total Lie About Georgia Prosecutor Sleeping With Gang Member,{'https://news.google.com/topics/articles/CBMiZGh0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vcG9saXRpY3MvcG9saXRpY3MtbmV3cy90cnVtcC1mYW5pLXdpbGxpcy1hZmZhaXItZ2FuZy1tZW1iZXItMTIzNDgwMjkyMi_SAWhodHRwczovL3d3dy5yb2xsaW5nc3RvbmUuY29tL3BvbGl0aWNzL3BvbGl0aWNzLW5ld3MvdHJ1bXAtZmFuaS13aWxsaXMtYWZmYWlyLWdhbmctbWVtYmVyLTEyMzQ4MDI5MjIvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:49:42Z
Can Gov. Kemp pardon the former president? | Georgia Trump investigation,{'https://news.google.com/topics/articles/CCAiC2ozSzg5WGd2X2JFmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:29:47Z
Georgia Grand Jury Likely to Hear Trump Case Next Week,{'https://news.google.com/topics/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMDgvdXMvdHJ1bXAtZ2VvcmdpYS1lbGVjdGlvbi1ncmFuZC1qdXJ5Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T20:48:57Z
Georgia courthouse on high alert as Trump charges loom,{'https://news.google.com/topics/articles/CCAiC1RROXhMMXJtOWswmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T20:44:16Z
Thousands of Los Angeles city workers walk off job for 24 hours alleging unfair labor practices,{'https://news.google.com/topics/articles/CBMiW2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2xvcy1hbmdlbGVzLWNpdHktd29ya2Vycy1zdHJpa2UtNjg5ZWFhMjFkNzI5Njk0ZDhmYTkxMDgwZGRhYTAxZGbSAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:01:00Z
L.A. city workers' one-day strike comes to end after impacting services,{'https://news.google.com/topics/articles/CCAiC3gzSDJDVnVvXzhBmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T23:56:53Z
Summer strikes unite CA workers across classes,{'https://news.google.com/topics/articles/CBMiS2h0dHBzOi8vY2FsbWF0dGVycy5vcmcvY2FsaWZvcm5pYS1kaXZpZGUvMjAyMy8wOC9zdW1tZXItc3RyaWtlcy1jYWxpZm9ybmlhL9IBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T12:30:00Z
L.A. city workers’ one-day strike comes to an end after impacting services,{'https://news.google.com/topics/articles/CBMiamh0dHBzOi8va3RsYS5jb20vbmV3cy9sb2NhbC1uZXdzL2NpdHktd29ya2Vycy0xLWRheS1zdHJpa2UtZXhwZWN0ZWQtdG8taW1wYWN0LXNlcnZpY2VzLWFuZ2VsZW5vcy1jb3VudC1vbi_SAW5odHRwczovL2t0bGEuY29tL25ld3MvbG9jYWwtbmV3cy9jaXR5LXdvcmtlcnMtMS1kYXktc3RyaWtlLWV4cGVjdGVkLXRvLWltcGFjdC1zZXJ2aWNlcy1hbmdlbGVub3MtY291bnQtb24vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T13:16:40Z
Cars found in Doral lake being recovered by Miami police divers,{'https://news.google.com/topics/articles/CBMia2h0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL25hdGlvbi8yMDIzLzA4LzA4L2NhcnMtZm91bmQtaW4tbGFrZS1pbi1kb3JhbC13aGF0LXdlLWtub3cvNzA1NTEyNjkwMDcv0gEA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T23:26:38Z
Expert on vehicles found in Doral lake,{'https://news.google.com/topics/articles/CCAiC2FiRlJlbEliYk1BmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T01:22:25Z
Divers Hoping to Solve Cold Cases Find 30 Cars in Florida Lake,{'https://news.google.com/topics/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDgvMDgvdXMvZmxvcmlkYS1jYXJzLXN1Ym1lcmdlZC11bmRlcndhdGVyLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T18:02:49Z
Divers working to retrieve almost 3 dozen submerged cars in Doral lake,{'https://news.google.com/topics/articles/CBMibmh0dHBzOi8vd3N2bi5jb20vbmV3cy9sb2NhbC9taWFtaS1kYWRlL2RpdmVycy13b3JraW5nLXRvLXJldHJpZXZlLWFsbW9zdC0zLWRvemVuLXN1Ym1lcmdlZC1jYXJzLWluLWRvcmFsLWxha2Uv0gFyaHR0cHM6Ly93c3ZuLmNvbS9uZXdzL2xvY2FsL21pYW1pLWRhZGUvZGl2ZXJzLXdvcmtpbmctdG8tcmV0cmlldmUtYWxtb3N0LTMtZG96ZW4tc3VibWVyZ2VkLWNhcnMtaW4tZG9yYWwtbGFrZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T16:51:13Z
"Neighbor of gunned down Chicago girl, 9, charged with her murder",{'https://news.google.com/topics/articles/CBMiWWh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzA4LzA4L25laWdoYm9yLW9mLWd1bm5lZC1kb3duLWNoaWNhZ28tZ2lybC05LWNoYXJnZWQtd2l0aC1tdXJkZXIv0gFdaHR0cHM6Ly9ueXBvc3QuY29tLzIwMjMvMDgvMDgvbmVpZ2hib3Itb2YtZ3VubmVkLWRvd24tY2hpY2Fnby1naXJsLTktY2hhcmdlZC13aXRoLW11cmRlci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T12:52:00Z
Booking photo shows gunman accused of killing suburban 9-year-old girl,{'https://news.google.com/topics/articles/CCAiC05BVHNPam1VZ3lNmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T23:15:20Z
"Man Followed 9-Year-Old Girl On Her Scooter And Killed Her In Front Of Her Dad, Prosecutors Say",{'https://news.google.com/topics/articles/CBMihwFodHRwczovL2Jsb2NrY2x1YmNoaWNhZ28ub3JnLzIwMjMvMDgvMDgvbWFuLWZvbGxvd2VkLTkteWVhci1vbGQtZ2lybC1vbi1oZXItc2Nvb3Rlci1hbmQta2lsbGVkLWhlci1pbi1mcm9udC1vZi1oZXItZGFkLXByb3NlY3V0b3JzLXNheS_SAQA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T20:46:00Z
A 9-year-old shouldn't have to fear being shot for being a kid,{'https://news.google.com/topics/articles/CBMie2h0dHBzOi8vY2hpY2Fnby5zdW50aW1lcy5jb20vMjAyMy84LzgvMjM4MjQzNzMvY2hpY2Fnby1ndW4tdmlvbGVuY2UtOS15ZWFyLW9sZC1naXJsLXNlcmFiaS1tZWRpbmEtbWljaGFlbC1nb29kbWFuLWVkaXRvcmlhbNIBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T00:30:00Z
Arrest warrants issued for 3 men in massive fight at Montgomery riverfront dock,{'https://news.google.com/topics/articles/CBMiR2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8wOC91cy9tb250Z29tZXJ5LWJvYXQtZG9jay1maWdodC9pbmRleC5odG1s0gFLaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyMy8wOC8wOC91cy9tb250Z29tZXJ5LWJvYXQtZG9jay1maWdodC9pbmRleC5odG1s?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:58:00Z
"Montgomery brawl: Police charge 3 men with assault, adding that 'more charges are likely'",{'https://news.google.com/topics/articles/CBMiZ2h0dHBzOi8vbmV3cy55YWhvby5jb20vbW9udGdvbWVyeS1icmF3bC1wb2xpY2UtY2hhcmdlLW1lbi1ib2F0LWFzc2F1bHQtcml2ZXJ3YWxrLWhpc3RvcnktMjA1NjU2OTU5Lmh0bWzSAW9odHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvbW9udGdvbWVyeS1icmF3bC1wb2xpY2UtY2hhcmdlLW1lbi1ib2F0LWFzc2F1bHQtcml2ZXJ3YWxrLWhpc3RvcnktMjA1NjU2OTU5Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T22:57:24Z
"3 charged with assault after boaters attack dock employee at Montgomery, Alabama riverbank",{'https://news.google.com/topics/articles/CCAiC0FuME15QmhmUF84mAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T20:42:59Z
"Johnson: Montgomery brawl defenders embody broader Black resolve, ‘Not today, y’all’",{'https://news.google.com/topics/articles/CBMidmh0dHBzOi8vd3d3LmFsLmNvbS9vcGluaW9uLzIwMjMvMDgvam9obnNvbi1tb250Z29tZXJ5LWJyYXdsLWRlZmVuZGVycy1lbWJvZHktYnJvYWRlci1ibGFjay1yZXNvbHZlLW5vdC10b2RheS15YWxsLmh0bWzSAYUBaHR0cHM6Ly93d3cuYWwuY29tL29waW5pb24vMjAyMy8wOC9qb2huc29uLW1vbnRnb21lcnktYnJhd2wtZGVmZW5kZXJzLWVtYm9keS1icm9hZGVyLWJsYWNrLXJlc29sdmUtbm90LXRvZGF5LXlhbGwuaHRtbD9vdXRwdXRUeXBlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T13:22:00Z
"Trump, Christie feast on insults in New Hampshire",{'https://news.google.com/topics/articles/CBMiTmh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjMvMDgvMDgvdHJ1bXAtY2hyaXN0aWUtbmV3LWhhbXBzaGlyZS0wMDExMDQxM9IBAA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-09T01:38:02Z
Trump mockery of Christie's weight takes a turn after audience member chimes in: 'Don't call him a fat pig',{'https://news.google.com/topics/articles/CBMiXGh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3BvbGl0aWNzL3RydW1wLW1vY2tlcnktY2hyaXMtY2hyaXN0aWUtd2VpZ2h0LWF1ZGllbmNlLW1lbWJlci1mYXQtcGln0gEA?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T23:05:00Z
"Trump mocks Christie's weight, eating habits",{'https://news.google.com/topics/articles/CCAiC05YeUZtTU1mLURZmAEB?hl=en-US&gl=US&ceid=US%3Aen'},2023-08-08T21:00:10Z
